Nombre,Precio,Link
Gigabyte GeForce RTX 4060 Ti EAGLE OC ICE 8G [GV-N406TEAGLEOC ICE-8GD],$589.990,https://www.solotodo.cl/products/264545-gigabyte-geforce-rtx-4060-ti-eagle-oc-ice-8g-gv-n406teagleoc-ice-8gd
MSI GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR [RTX 3070 VENTUS 3X PLUS 8G OC LHR],$599.900,https://www.solotodo.cl/products/154677-msi-geforce-rtx-3070-ventus-3x-plus-8g-oc-lhr-rtx-3070-ventus-3x-plus-8g-oc-lhr
ASUS DUAL-RTX3070-O8G,$609.900,https://www.solotodo.cl/products/92871-asus-dual-rtx3070-o8g
ASUS ROG-STRIX-RTX4060TI-O8G-GAMING,$629.900,https://www.solotodo.cl/products/221532-asus-rog-strix-rtx4060ti-o8g-gaming
ASUS ROG-STRIX-RTX3060TI-O8G-V2-GAMING,$639.900,https://www.solotodo.cl/products/120813-asus-rog-strix-rtx3060ti-o8g-v2-gaming
ASUS KO-RTX3070-O8G-V2-GAMING,$639.900,https://www.solotodo.cl/products/127644-asus-ko-rtx3070-o8g-v2-gaming
ASUS TUF-RTX3070-O8G-V2-GAMING,$659.900,https://www.solotodo.cl/products/122914-asus-tuf-rtx3070-o8g-v2-gaming
Axle GeForce RTX 3070 Ti Classic Edition,$698.000,https://www.solotodo.cl/products/238623-axle-geforce-rtx-3070-ti-classic-edition
Gigabyte GeForce RTX 3070 Ti GAMING OC 8G [GV-N307TGAMING OC-8GD],$714.190,https://www.solotodo.cl/products/115978-gigabyte-geforce-rtx-3070-ti-gaming-oc-8g-gv-n307tgaming-oc-8gd
MSI GeForce RTX 4060 Ti 8G GAMING SLIM MONSTER HUNTER EDITION [RTX 4060 Ti 8G GAMING SLIM MONSTER HUNTER EDITION],$709.990,https://www.solotodo.cl/products/255589-msi-geforce-rtx-4060-ti-8g-gaming-slim-monster-hunter-edition-rtx-4060-ti-8g-gaming-slim-monster-hunter-edition
ASUS TUF-RTX3070TI-O8G-GAMING,$719.900,https://www.solotodo.cl/products/115589-asus-tuf-rtx3070ti-o8g-gaming
EVGA GeForce RTX 3070 Ti FTW3 ULTRA GAMING [08G-P5-3797-KL],$719.900,https://www.solotodo.cl/products/115560-evga-geforce-rtx-3070-ti-ftw3-ultra-gaming-08g-p5-3797-kl
MSI GeForce RTX 4060 Ti GAMING X SLIM 16G,$719.990,https://www.solotodo.cl/products/214271-msi-geforce-rtx-4060-ti-gaming-x-slim-16g
Zotac GAMING GeForce RTX 3070 Ti Trinity [ZT-A30710D-10P],$795.008,https://www.solotodo.cl/products/114777-zotac-gaming-geforce-rtx-3070-ti-trinity-zt-a30710d-10p
MSI GeForce RTX 3080 VENTUS 3X PLUS 10G OC LHR [RTX 3080 VENTUS 3X PLUS 10G OC LHR],$799.900,https://www.solotodo.cl/products/133103-msi-geforce-rtx-3080-ventus-3x-plus-10g-oc-lhr-rtx-3080-ventus-3x-plus-10g-oc-lhr
MSI GeForce RTX 4070 VENTUS 2X 12G OC [RTX 4070 VENTUS 2X 12G OC],$799.900,https://www.solotodo.cl/products/197806-msi-geforce-rtx-4070-ventus-2x-12g-oc-rtx-4070-ventus-2x-12g-oc
Palit GeForce RTX 5070 GamingPro [NE75070019K9-GB2050A],$799.990,https://www.solotodo.cl/products/267060-palit-geforce-rtx-5070-gamingpro-ne75070019k9-gb2050a
Gigabyte GeForce RTX 4070 EAGLE OC V2 12G [GV-N4070EAGLE OCV2-12GD],$812.754,https://www.solotodo.cl/products/232054-gigabyte-geforce-rtx-4070-eagle-oc-v2-12g-gv-n4070eagle-ocv2-12gd
Zotac GeForce RTX 4070 Twin Edge OC GDDR6 [ZT-D40740H-10M],$815.990,https://www.solotodo.cl/products/256754-zotac-geforce-rtx-4070-twin-edge-oc-gddr6-zt-d40740h-10m
ASUS ROG-STRIX-RTX3070TI-8G-GAMING,$819.900,https://www.solotodo.cl/products/118409-asus-rog-strix-rtx3070ti-8g-gaming
MSI GeForce RTX 4070 SUPER 12G VENTUS 3X OC,$839.900,https://www.solotodo.cl/products/233011-msi-geforce-rtx-4070-super-12g-ventus-3x-oc
ASUS ROG-STRIX-RTX3070TI-O8G-GAMING,$849.900,https://www.solotodo.cl/products/116692-asus-rog-strix-rtx3070ti-o8g-gaming
MSI GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR [RTX 3080 VENTUS 3X PLUS 12G OC LHR],$849.900,https://www.solotodo.cl/products/131665-msi-geforce-rtx-3080-ventus-3x-plus-12g-oc-lhr-rtx-3080-ventus-3x-plus-12g-oc-lhr
ASUS PRIME-RTX4070S-O12G,$843.591,https://www.solotodo.cl/products/258199-asus-prime-rtx4070s-o12g
Palit GeForce RTX 5070 GamingPro OC [NE75070T19K9-GB2050A],$844.990,https://www.solotodo.cl/products/267186-palit-geforce-rtx-5070-gamingpro-oc-ne75070t19k9-gb2050a
ASUS TUF-RTX4070S-O12G-GAMING,$849.995,https://www.solotodo.cl/products/238460-asus-tuf-rtx4070s-o12g-gaming
ASUS DUAL-RTX4070S-O12G-EVO-WHITE,$861.720,https://www.solotodo.cl/products/263374-asus-dual-rtx4070s-o12g-evo-white
Gigabyte GeForce RTX 4070 SUPER EAGLE OC ICE 12G [GV-N407SEAGLEOC ICE-12GD],$877.853,https://www.solotodo.cl/products/248950-gigabyte-geforce-rtx-4070-super-eagle-oc-ice-12g-gv-n407seagleoc-ice-12gd
EVGA GeForce RTX 3080 FTW3 ULTRA GAMING LHR [10G-P5-3897-KL],$878.900,https://www.solotodo.cl/products/118674-evga-geforce-rtx-3080-ftw3-ultra-gaming-lhr-10g-p5-3897-kl
Gigabyte GeForce RTX 4070 SUPER EAGLE OC 12G [GV-N407SEAGLE OC-12GD],$899.995,https://www.solotodo.cl/products/242386-gigabyte-geforce-rtx-4070-super-eagle-oc-12g-gv-n407seagle-oc-12gd
MSI GeForce RTX 4070 SUPER 12G GAMING X SLIM MLG,$909.887,https://www.solotodo.cl/products/235239-msi-geforce-rtx-4070-super-12g-gaming-x-slim-mlg
EVGA GeForce RTX 3080 12GB FTW3 ULTRA GAMING [12G-P5-4877-KL],$909.900,https://www.solotodo.cl/products/134642-evga-geforce-rtx-3080-12gb-ftw3-ultra-gaming-12g-p5-4877-kl
ASUS TUF-RTX4070-O12G-GAMING,$909.990,https://www.solotodo.cl/products/202486-asus-tuf-rtx4070-o12g-gaming
MSI GeForce RTX 4070 SUPER 12G GAMING X SLIM,$928.970,https://www.solotodo.cl/products/234568-msi-geforce-rtx-4070-super-12g-gaming-x-slim
ASUS ROG-STRIX-RTX4070-O12G-GAMING,$929.900,https://www.solotodo.cl/products/215894-asus-rog-strix-rtx4070-o12g-gaming
Gigabyte GeForce RTX 4070 SUPER WINDFORCE OC 12G [GV-N407SWF3OC-12GD],$929.990,https://www.solotodo.cl/products/237568-gigabyte-geforce-rtx-4070-super-windforce-oc-12g-gv-n407swf3oc-12gd
Gigabyte GeForce RTX 4070 SUPER GAMING OC 12G [GV-N407SGAMING OC-12GD],$940.857,https://www.solotodo.cl/products/233321-gigabyte-geforce-rtx-4070-super-gaming-oc-12g-gv-n407sgaming-oc-12gd
Gigabyte AORUS RTX 3080 GAMING BOX [GV-N3080IXEB-10GD],$999.990,https://www.solotodo.cl/products/114051-gigabyte-aorus-rtx-3080-gaming-box-gv-n3080ixeb-10gd
ASUS PRIME-RTX5070-12G,$997.997,https://www.solotodo.cl/products/268325-asus-prime-rtx5070-12g
MSI GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC,$1.017.057,https://www.solotodo.cl/products/231824-msi-geforce-rtx-4070-ti-super-16g-ventus-2x-oc
ASUS PRIME-RTX5070-O12G,$1.019.990,https://www.solotodo.cl/products/268324-asus-prime-rtx5070-o12g
MSI GeForce RTX 4070 Ti SUPER 16G VENTUS 2X WHITE OC,$1.029.990,https://www.solotodo.cl/products/239711-msi-geforce-rtx-4070-ti-super-16g-ventus-2x-white-oc
Zotac GAMING GeForce RTX 4070 SUPER Twin Edge 12GB GDDR6X [ZT-D40720E-10M],$1.020.900,https://www.solotodo.cl/products/232780-zotac-gaming-geforce-rtx-4070-super-twin-edge-12gb-gddr6x-zt-d40720e-10m
ASUS DUAL-RTX4070TIS-O16G,$1.024.990,https://www.solotodo.cl/products/265157-asus-dual-rtx4070tis-o16g
Zotac Gaming GeForce RTX 4070 Ti Super Trinity Black Edition [ZT-D40730D-10P],$1.090.000,https://www.solotodo.cl/products/233177-zotac-gaming-geforce-rtx-4070-ti-super-trinity-black-edition-zt-d40730d-10p
Gigabyte GeForce RTX 4070 Ti EAGLE OC 12G [GV-N407TEAGLE OC-12G],$1.092.790,https://www.solotodo.cl/products/196249-gigabyte-geforce-rtx-4070-ti-eagle-oc-12g-gv-n407teagle-oc-12g
MSI GeForce RTX 4070 Ti SUPER 16G GAMING SLIM STALKER 2 EDITION,$1.099.000,https://www.solotodo.cl/products/260901-msi-geforce-rtx-4070-ti-super-16g-gaming-slim-stalker-2-edition
ASUS TUF-RTX3080-12G-GAMING,$1.119.900,https://www.solotodo.cl/products/132878-asus-tuf-rtx3080-12g-gaming
ASUS TUF-RTX4070TIS-O16G-GAMING,$1.146.166,https://www.solotodo.cl/products/236115-asus-tuf-rtx4070tis-o16g-gaming
Gigabyte GeForce RTX 4070 Ti SUPER GAMING OC 16G [GV-N407TSGAMING OC-16GD],$1.148.990,https://www.solotodo.cl/products/233322-gigabyte-geforce-rtx-4070-ti-super-gaming-oc-16g-gv-n407tsgaming-oc-16gd
ASUS TUF-RTX5070-O12G-GAMING,$1.149.700,https://www.solotodo.cl/products/268328-asus-tuf-rtx5070-o12g-gaming
Gigabyte GeForce RTX 4070 Ti SUPER EAGLE OC 16G [GV-N407TSEAGLE OC-16GD],$1.178.490,https://www.solotodo.cl/products/235258-gigabyte-geforce-rtx-4070-ti-super-eagle-oc-16g-gv-n407tseagle-oc-16gd
Gigabyte GeForce RTX 4070 Ti SUPER EAGLE OC ICE 16G [GV-N407TSEAGLEOC ICE-16GD],$1.214.990,https://www.solotodo.cl/products/242384-gigabyte-geforce-rtx-4070-ti-super-eagle-oc-ice-16g-gv-n407tseagleoc-ice-16gd
